-------XGBOOST ALGORITHM----------
Cerca d'hiperparàmetres òptims: 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.6, colsample_bytree=0.5 
 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_1  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=1, colsample_bytree=1 
Cerca d'hiperparàmetres òptims: 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.6, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.8, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=1, colsample_bytree=0.7 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.6, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.8, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=1, colsample_bytree=1 

 Avaluant hiperparàmetres en XGBoost  is_grade_2  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=1, colsample_bytree=1 
Cerca d'hiperparàmetres òptims: 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.6, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=6, eta=0.1, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=9, eta=0.1, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=3, eta=0.3, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=6, eta=0.3, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=9, eta=0.3, subsample=0.8, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=3, eta=0.01, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=6, eta=0.01, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=9, eta=0.01, subsample=1, colsample_bytree=0.5 

 Avaluant hiperparàmetres en XGBoost  is_grade_3  :  objective=binary:logistic, max_depth=3, eta=0.1, subsample=1, colsample_bytree=0.5 

